MANUAL,SKILL
Information Technology and Forensics,"Conduct periodic system maintenance including cleaning (both physically and electronically), disk checks, routine reboots, data dumps, and testing"
Data Security,"Conduct Privacy Impact Assessments (PIAs) of the application’s security design for the appropriate security controls, which protect the confidentiality and integrity of Personally Identifiable Information (PII)"
Data Security,"Conduct privacy impact assessments of proposed rules on the privacy of personal information, including the type of personal information collected and the number of people affected"
Networking,Conduct quality control to determine validity and relevance of information gathered about networks
Information Technology and Forensics,"Conduct required reviews as appropriate within environment (eg, Technical Surveillance, Countermeasure Reviews [TSCM], TEMPEST countermeasure reviews)"
Analysis,"Conduct research, analysis, and correlation across a wide variety of all source data sets (indications and warnings)"
Networking,Conduct survey of computer and digital networks
Communication Architecture and Security,conduct systems security engineering activities (NIST SP 800-16)
Analysis,Conduct target research and analysis
Education/Teaching,conduct training and education needs assessment
Software Development,Conduct trial runs of programs and software applications to ensure that the desired information is produced and instructions and security levels are correct
Cyber Threats,conduct vulnerability scans and recognize vulnerabilities in security systems
Cyber Threats,conducting application vulnerability assessments
Information Technology and Forensics,conducting audits or reviews of technical systems
Analysis,conducting bit-level analysis
Analysis,conducting capabilities and requirements analysis
Operating Systems,"conducting forensic analyses in multiple operating system environments (eg, mobile device systems)"
